Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2
2003 38 1;376;064033820383;4;0;0;0;0;0;0
2003 38 1;377;064033820074;4;0;0;0;0;0;0
2003 38 1;378;064033820350;4;0;0;0;0;0;0
2003 38 1;379;064033820057;4;0;0;0;0;0;0
2003 38 1;380;064033820384;4;0;0;0;0;0;0
2003 38 1;381;064033810195;4;0;0;0;0;1;0
2003 38 1;389;064033820240;7;0;0;0;0;0;0
2003 38 1;390;064033820108;7;0;0;0;0;0;0
2003 38 1;391;064033820145;7;0;0;0;0;0;0
2003 38 1;392;064033820358;7;0;0;0;0;0;0
2003 38 1;393;064033820110;7;0;0;0;0;0;0
2003 38 1;394;064033820178;7;0;0;0;0;0;0
2003 38 1;395;064033820285;7;0;0;0;0;0;0
2003 38 1;396;064033820016;7;0;0;1;0;0;0
2003 38 1;397;064033810022;8;0;1;0;0;0;0
2003 38 1;398;064033810072;3;0;0;0;0;1;0
2003 38 1;399;064033820347;3;0;0;0;0;0;0
2003 38 1;400;064033820216;3;0;0;0;0;0;0
2003 38 1;401;064033930417;3;0;0;1;0;0;1
2003 38 1;402;064033950510;3;0;0;0;0;0;0
2003 38 2;1;064033820212;6;1;0;0;1;0;0
2003 38 2;2;064033820283;9;0;0;1;0;1;1
2003 38 2;13;064033820069;4;0;0;0;0;0;0
2003 38 2;14;064033820155;4;0;0;0;0;0;0
2003 38 2;15;064033820043;4;0;0;0;0;0;0
2003 38 2;16;064033820118;4;0;0;0;0;0;0
2003 38 2;17;064033820360;4;0;0;0;0;0;0
2003 38 2;18;064033820237;7;0;0;1;0;0;0
2003 38 2;19;064033820262;7;0;0;0;0;0;0
2003 38 2;20;064033820027;7;0;0;0;0;0;0
2003 38 2;21;064033820141;7;0;0;0;0;0;0
2003 38 2;22;064033820359;10;0;0;0;0;0;0
2003 38 2;23;064033820299;10;0;0;1;0;0;0
2003 38 2;24;064033820196;10;0;0;0;0;0;0
2003 38 2;25;064033820312;4;0;0;0;0;0;0
2003 38 2;26;064033820065;4;0;0;0;0;0;0
2003 38 2;27;064033820236;4;0;0;0;0;1;0
2003 38 2;28;064033820317;4;0;0;0;0;0;0
2003 38 2;29;064033820259;4;0;0;0;0;0;0
2003 38 2;30;064033820345;4;0;0;0;0;0;0
2003 38 2;34;064033820301;4;0;0;0;0;0;0
2003 38 2;35;064033820113;4;0;0;0;0;1;0
2003 38 2;36;064033820365;4;0;0;0;0;0;0
2003 38 2;37;064033820238;11;0;0;0;0;0;0
2003 38 2;38;064033820148;11;0;0;0;0;0;0
2003 38 2;39;064033820419;11;0;0;0;0;0;0
2003 38 2;40;064033820261;11;0;0;0;0;0;0
2003 38 2;41;064033820083;11;0;0;0;0;0;0
2003 38 2;42;064033820284;11;0;0;0;0;0;0
2003 38 2;43;064033820018;11;0;0;0;0;0;0
2003 38 2;44;064033820191;6;1;0;0;0;0;0
2003 38 2;45;064033820252;6;0;0;0;1;0;0
2003 38 2;46;064033820164;7;0;0;0;0;0;0
2003 38 2;47;064033820364;7;0;0;0;0;0;0
2003 38 2;48;064033820152;7;0;0;0;0;0;0
2003 38 2;49;064033820040;7;0;0;0;0;0;0
2003 38 2;62;064033820286;2;0;0;1;0;0;0
2003 38 2;63;064033820377;2;0;0;0;0;0;0
2003 38 2;64;064033820375;2;0;0;0;0;0;0
2003 38 2;65;064033820061;2;0;0;0;0;0;0
2003 38 2;66;064033820376;2;0;0;1;0;0;0
2003 38 2;67;064033710317;12;0;1;0;0;0;0
2003 38 2;68;064033820194;2;0;0;0;0;0;0
2003 38 2;69;064033820371;2;0;0;1;0;0;0
2003 38 2;70;064033820406;2;0;0;0;0;0;0
2003 38 2;71;064033820260;2;0;0;0;0;0;0
2003 38 2;72;064033820397;2;0;0;0;0;0;0
2003 38 2;73;064033820165;2;0;0;0;0;0;0
2003 38 2;74;064033820421;2;0;0;0;0;0;0
2003 38 2;75;064033820331;2;0;0;1;0;1;0
2003 38 2;76;064033830409;2;0;0;0;0;0;1
2003 38 2;77;064033820064;2;0;0;0;0;0;0
2003 38 2;78;064033820157;2;0;0;1;0;0;0
2003 38 2;79;064033820225;2;0;0;0;0;0;0
2003 38 2;80;064033820125;2;0;0;0;0;0;0
2003 38 2;81;064033820228;2;0;0;1;0;0;1
2003 38 2;82;064033820327;6;0;0;0;0;1;0
2003 38 2;83;064033820253;6;0;0;0;1;0;0
2003 38 2;84;064033820021;6;0;0;0;0;0;0
2003 38 2;85;064033820209;6;1;0;0;0;0;0
2003 38 2;91;064033820144;3;0;0;0;0;0;0
2003 38 2;92;064033820060;3;0;0;0;0;0;0
2003 38 2;93;064033820368;3;0;0;0;0;0;0
2003 38 2;94;064033820042;3;0;0;0;0;0;0
2003 38 2;95;064033820022;3;0;0;1;0;1;0
2003 38 2;96;064033820313;3;0;0;0;0;0;0
2003 38 2;97;064033820053;3;0;0;0;0;0;0
2003 38 2;98;064033820054;3;0;0;0;0;0;0
2003 38 2;99;064033820921;3;0;0;1;0;0;1
2003 38 2;100;064033820051;3;0;0;0;0;0;0
2003 38 2;101;064033820399;3;0;0;0;0;0;0
2003 38 2;102;064033820428;4;0;0;0;0;1;0
2003 38 2;103;064033820243;4;0;0;0;0;0;0
2003 38 2;104;064033820405;4;0;0;0;0;0;0
2003 38 2;105;064033820293;4;0;0;0;0;0;0
2003 38 2;106;064033820160;4;0;0;0;0;0;0
