Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;
2004 49 1;691;22044910285;8;1;1;0;0;0;0;1;0;0;0;0;0;
2004 49 1;692;22044910088;8;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 1;693;22044910566;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;694;22044910031;8;1;1;0;0;0;0;1;0;0;0;0;0;
2004 49 1;695;22044910023;8;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 1;696;22044910081;8;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;697;22044910423;8;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 1;698;22044910039;8;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 1;699;22044910333;8;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;700;22044910138;8;1;1;0;0;0;0;1;0;0;0;0;0;
2004 49 1;701;22044910085;8;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 1;702;22044910275;8;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;703;22044910214;8;1;1;0;0;0;0;1;0;0;0;0;0;
2004 49 1;704;22044910118;7;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;1;22044910012;1;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;2;22044920738;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;3;22044305258;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;4;22044920620;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;5;22044920624;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;6;22044920300;5;0;0;0;0;0;1;0;0;0;1;0;0;
2004 49 2;7;22044920027;5;0;1;1;0;0;0;1;0;0;0;0;0;
2004 49 2;8;22044305253;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;9;22044920478;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;10;22044305254;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;11;22044920107;5;0;0;1;0;0;0;1;0;0;0;0;0;
2004 49 2;12;22044920299;5;0;0;0;0;0;1;0;0;0;1;0;0;
2004 49 2;13;22044920237;5;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;14;22044920004;5;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;15;22044910397;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;16;22044920379;5;0;0;1;0;0;0;1;0;0;1;0;0;
2004 49 2;17;22044305252;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;18;22044920623;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;19;22044920609;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;20;22044910395;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;21;22044920582;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;22;22044305255;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;23;22044920455;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;24;22044920736;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;25;22044920418;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;26;22044910657;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;27;22044920548;5;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;28;22044920239;5;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;29;22044920432;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;30;22044920169;5;0;1;0;0;0;0;1;0;0;0;0;0;
2004 49 2;31;22044920607;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;32;22044920445;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;33;22044920430;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;34;22044920731;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;35;22044910508;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;36;22044920527;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;37;22044920443;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;38;22044910420;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;39;22044920437;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;40;22044920619;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;41;22044910543;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;42;22044920723;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;43;22044920475;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;44;22044920414;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;45;22044920130;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;46;22044920526;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;47;22044920440;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;48;22044920419;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;49;22044920519;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;50;22044920383;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;51;22044920583;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;52;22044920306;5;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;53;22044920235;5;0;0;0;0;0;0;1;0;0;0;0;0;
2004 49 2;54;22044920613;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;55;22044920079;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;56;22044920224;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;57;22044920304;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;58;22044920470;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;59;22044920479;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;60;22044910630;5;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;61;22044920525;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;62;22044920568;5;0;0;0;0;0;0;1;0;0;1;0;0;
2004 49 2;63;22044920217;5;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 2;64;22044920601;5;0;0;0;0;0;0;1;0;0;1;0;0;
