Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;
2004 49 1;1242;23044630090;8;0;0;1;1;0;1;1;0;0;0;0;1;
2004 49 1;1243;23044850498;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1244;23044940052;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1245;23044910842;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1246;23044910395;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1247;23044910443;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1248;23044620033;8;0;0;0;1;0;1;1;0;0;0;0;0;
2004 49 1;1249;23044920424;8;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1250;23044910537;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1251;23044850496;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1252;23044910453;8;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;1253;23044910364;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1254;23044620085;8;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 1;1255;23044850499;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1256;23045140020;8;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1257;23050120125;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1258;23050240017;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1259;23045140011;8;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 1;1260;23044910257;7;0;0;1;1;0;0;0;0;0;0;0;1;
2004 49 2;1;23044650241;1;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 2;2;23044640397;1;0;0;0;0;0;1;0;1;0;0;0;1;
2004 49 2;3;23044920839;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;4;23044920647;1;0;0;0;0;0;1;1;0;0;0;0;0;
2004 49 2;5;23044920523;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;6;23044920831;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;7;23044920417;1;0;1;0;0;0;1;1;0;0;0;0;0;
2004 49 2;8;23044650088;2;0;0;1;1;0;0;0;0;0;0;0;0;
2004 49 2;9;23044920829;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;10;23044920593;1;0;0;0;0;0;1;1;0;0;0;0;0;
