Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;
2004 49 1;1302;24045220023;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1303;24044911476;4;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;1;0;0;
2004 49 1;1304;24044940105;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1305;24045220063;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1306;24044911608;4;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 1;1307;24044850900;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1308;24044930258;4;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 1;1309;24045040157;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 1;1310;24045220095;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1311;24045140075;4;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1312;24044920145;4;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;
2004 49 1;1313;24044911460;4;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1314;24044911067;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1315;24044911047;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1316;24044920727;4;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;
2004 49 1;1317;24044840386;4;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1318;24044840538;4;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1319;24044911050;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 1;1320;24044911066;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;1;24044920929;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;2;24044921360;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;3;24044920970;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;4;24045040314;11;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;5;24044920842;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;6;24044920835;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;7;24044921266;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;8;24044921172;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;9;24044911076;11;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;10;24044921067;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;11;24044921341;14;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;12;24044921163;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;13;24044850243;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;14;24044921080;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;15;24044920837;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;16;24044920388;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;17;24044850239;15;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;18;24044921331;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;19;24044921316;7;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;20;24045140097;7;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;
2004 49 2;21;24044850242;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;22;24044921173;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;23;24044920952;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;24;24044920961;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;25;24044911077;11;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;26;24044921168;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;27;24044920698;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;28;24044921353;5;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;29;24044911343;5;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;30;24044921069;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;31;24044921084;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;32;24044921245;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;33;24044921089;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;34;24045050165;11;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;35;24044920928;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;36;24044921171;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;37;24044921298;14;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;38;24044920740;14;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;39;24044921202;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;40;24044920981;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;41;24044921397;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;42;24044911695;12;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2004 49 2;43;24044921125;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;44;24044921159;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;45;24044920902;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;46;24044911078;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;47;24045040308;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;48;24044921103;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;49;24044920974;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;50;24044911079;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;51;24044920832;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;52;24044921350;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;53;24044921106;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;54;24044930466;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;55;24044920662;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;56;24044921066;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;57;24044920898;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;58;24044920823;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;59;24044921402;11;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;60;24044920916;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;61;24044921261;11;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;62;24044920899;11;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;63;24044910800;11;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;64;24044920830;11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;65;24044921003;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;66;24044910872;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 2;67;24044921337;15;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;68;24044920713;4;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;69;24044921117;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;70;24044921121;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;71;24045040163;2;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;72;24044921025;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;73;24044921282;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;74;24044920858;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;75;24044910968;3;1;0;1;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;
2004 49 2;76;24044920805;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 2;77;24044921376;3;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
