Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12;LPRC13;LPRC14;
2004 48 5;922;25044850273;20;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;923;25044850175;20;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;924;25044910304;20;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;925;25044911012;20;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;926;25044850160;20;0;1;0;0;1;0;0;0;1;1;0;1;0;1;0;0;1;0;0;0;
2004 48 5;927;25044911304;20;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;
2004 48 5;928;25044840320;20;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;929;25044920621;20;1;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;1;0;0;0;
2004 48 5;930;25044910159;20;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;931;25044911125;20;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 48 5;932;25044850234;20;1;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;933;25044850042;20;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 48 5;934;25044911158;20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;
2004 48 5;935;25044840022;20;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;936;25044940592;20;1;0;1;1;0;1;0;1;1;0;0;1;0;1;0;1;1;1;0;0;
2004 48 5;937;25044840621;20;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 48 5;938;25044850040;20;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;
2004 48 5;939;25044950539;20;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;940;25044840561;20;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;
2004 48 5;941;25044920338;20;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;942;25044950300;20;0;0;1;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;943;25044840079;20;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;944;25044911146;20;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;
2004 48 5;945;25044910858;20;1;1;1;1;1;1;0;0;1;0;0;1;0;1;0;0;1;0;0;0;
2004 48 5;946;25044840474;20;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;
2004 48 5;947;25044840073;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;948;25044840043;20;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;949;25044950258;20;1;0;1;1;0;1;0;0;0;0;0;0;0;1;0;0;1;0;0;0;
2004 48 5;950;25044840076;20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
