Date;SeqRank;Ident;Paint Color;HPRC1;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;
2004 50 5;53;28045040189;5;0;0;0;0;1;0;
2004 50 5;54;28045110146;5;0;0;1;0;0;0;
2004 50 5;55;28045040357;5;0;0;0;0;0;0;
2004 50 5;56;28045040200;5;0;0;0;0;0;0;
2004 50 5;57;28045040182;5;0;0;0;0;0;0;
2004 50 5;58;28045140315;5;0;1;0;0;0;1;
2004 50 5;59;28044840317;5;1;0;0;0;0;0;
2004 50 5;60;28045110151;5;0;0;1;0;0;0;
2004 50 5;61;28045040190;5;0;0;0;0;1;0;
2004 50 5;62;28045040099;5;0;0;0;0;0;0;
2004 50 5;63;28045040103;5;0;0;0;0;0;0;
2004 50 5;64;28045040153;5;0;0;0;0;0;0;
2004 50 5;65;28044930170;4;1;0;1;0;0;0;
2004 51 1;1;28045103974;4;0;0;0;0;0;0;
2004 51 1;2;28045040191;4;0;0;0;0;1;0;
2004 51 1;3;28044840491;4;1;0;0;0;0;0;
2004 51 1;4;28045103975;4;0;0;0;0;0;0;
2004 51 1;5;28045040325;4;0;0;0;0;0;0;
2004 51 1;6;28045040217;2;0;0;0;0;0;0;
2004 51 1;7;28045040333;4;0;0;0;0;0;0;
2004 51 1;8;28045040343;4;0;0;0;0;0;0;
2004 51 1;9;28045040178;4;0;0;0;0;0;0;
2004 51 1;10;28045040385;3;0;0;0;0;0;0;
2004 51 1;11;28045040112;4;0;0;1;0;0;0;
2004 51 1;12;28044840494;4;1;0;0;0;0;0;
2004 51 1;13;28044940461;4;0;1;0;0;0;1;
2004 51 1;14;28045040386;3;0;0;0;0;0;0;
2004 51 1;15;28045040371;4;0;0;0;0;1;0;
2004 51 1;16;28045040365;4;0;0;0;0;0;0;
2004 51 1;17;28045040254;4;0;0;0;0;0;0;
2004 51 1;18;28045040302;4;0;0;0;0;0;0;
2004 51 1;19;28044840308;4;1;0;0;0;0;0;
2004 51 1;20;28045040311;4;0;0;0;0;0;0;
2004 51 1;21;28045040132;4;0;0;0;0;1;0;
2004 51 1;22;28045040015;4;0;0;1;0;0;0;
2004 51 1;23;28045040320;4;0;0;0;0;0;0;
2004 51 1;24;28045040301;4;0;0;0;0;0;0;
2004 51 1;25;28045040265;4;0;0;0;0;1;0;
2004 51 1;26;28044840214;4;1;0;0;0;0;0;
2004 51 1;27;28044940253;4;0;1;0;0;0;1;
2004 51 1;28;28045120175;1;0;0;1;0;0;0;
2004 51 1;29;28045040270;4;0;0;0;0;0;0;
2004 51 1;30;28045040234;4;0;0;1;0;0;0;
2004 51 1;31;28045040323;4;0;0;0;0;0;0;
2004 51 1;32;28045040196;4;0;0;0;0;1;0;
2004 51 1;33;28045040293;4;0;0;0;0;0;0;
2004 51 1;34;28044840272;4;1;0;1;0;0;0;
2004 51 1;35;28045040117;4;0;0;0;1;0;0;
2004 51 1;36;28045040267;4;0;0;0;0;0;0;
2004 51 1;37;28045040175;4;0;0;0;0;1;0;
2004 51 1;38;28045040181;4;0;0;0;0;0;0;
2004 51 1;39;28045040136;4;0;0;0;0;0;0;
2004 51 1;40;28045040176;4;0;0;0;0;1;0;
2004 51 1;41;28044840209;4;1;0;0;0;0;0;
2004 51 1;42;28045040203;4;0;0;0;0;0;0;
2004 51 1;43;28045040342;4;0;0;0;0;0;0;
2004 51 1;44;28045040345;4;0;0;0;0;0;0;
2004 51 1;45;28045040347;4;0;0;0;0;0;0;
2004 51 1;46;28044940290;4;0;1;0;0;0;1;
2004 51 1;47;28044840270;4;1;0;1;0;0;0;
2004 51 1;48;28045040303;4;0;0;0;0;0;0;
2004 51 1;49;28045040309;4;0;0;0;0;0;0;
2004 51 1;50;28045040262;4;0;0;0;0;0;0;
2004 51 1;51;28045040259;4;0;0;0;0;0;0;
2004 51 1;52;28045040375;4;0;0;1;0;0;0;
2004 51 1;53;28045040256;4;0;0;0;0;0;0;
2004 51 1;54;28045040201;4;0;0;0;0;0;0;
2004 51 1;55;28045120176;4;0;0;0;0;0;0;
2004 51 1;56;28045120181;4;0;0;0;0;0;0;
2004 51 1;57;28044930171;4;1;0;0;0;0;0;
2004 51 1;58;28045120172;4;0;0;0;0;0;0;
2004 51 1;59;28045040348;4;0;0;0;0;0;0;
2004 51 1;60;28045040154;4;0;0;0;0;0;0;
2004 51 1;61;28045040155;4;0;0;0;0;0;0;
2004 51 1;62;28045040098;4;0;0;0;0;0;0;
2004 51 1;63;28045040202;4;0;0;0;0;0;0;
2004 51 1;64;28045140005;4;0;1;0;0;0;1;
2004 51 1;65;28044930172;4;1;0;0;0;0;0;
