Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;LPRC2;LPRC3;
2004 49 4;739;29044940617;5;0;1;0;0;0;0;0;
2004 49 4;740;29045010030;5;0;1;0;1;0;0;0;
2004 49 4;741;29044940313;5;1;0;0;0;1;0;0;
2004 49 4;742;29044940547;5;0;1;0;0;0;0;0;
2004 49 4;743;29044920228;5;1;0;0;0;1;1;0;
2004 49 4;744;29044940369;5;0;1;0;0;1;0;0;
2004 49 4;745;29044940043;5;1;0;0;0;1;1;0;
2004 49 4;746;29044940271;5;1;0;0;0;1;0;0;
2004 49 4;747;29044940272;5;1;0;0;0;1;0;0;
2004 49 4;748;29044940520;5;0;1;0;1;0;0;0;
2004 49 4;749;29044940615;5;0;1;0;0;1;0;1;
2004 49 4;750;29044830533;5;0;1;0;0;1;0;0;
2004 49 4;751;29044940333;5;1;0;0;0;1;0;0;
2004 49 4;752;29050130053;5;1;0;0;0;1;0;0;
2004 49 4;753;29044830528;5;0;1;0;0;1;0;0;
2004 49 4;754;29044830534;5;0;1;0;0;1;0;0;
2004 49 4;755;29044940519;5;0;1;0;1;0;0;0;
2004 49 4;756;29044950025;5;1;0;0;0;1;1;0;
2004 49 4;757;29044950236;5;1;0;0;0;1;0;0;
2004 49 4;758;29044950010;5;1;0;0;0;1;1;0;
2004 49 4;759;29044940479;5;0;1;0;0;1;0;0;
2004 49 4;760;29044940504;5;0;1;0;0;0;0;0;
2004 49 4;761;29044940676;5;0;1;0;0;1;0;0;
2004 49 4;762;29044960025;5;1;0;0;0;1;0;0;
2004 49 4;763;29044940613;5;0;1;0;0;0;0;0;
2004 49 4;764;29045040092;5;0;1;0;1;0;0;0;
2004 49 4;765;29044940517;5;0;1;0;0;1;0;0;
2004 49 4;766;29044960058;5;1;0;0;0;1;0;0;
2004 49 4;767;29044940681;5;0;1;0;0;1;0;0;
2004 49 4;768;29044960095;5;1;0;0;0;1;0;0;
2004 49 4;769;29044960098;5;1;0;0;0;1;0;0;
2004 49 4;770;29044940383;5;0;1;0;0;1;0;0;
2004 49 4;771;29044950270;5;1;0;0;0;1;0;0;
2004 49 4;772;29044940646;5;0;1;0;0;1;0;1;
2004 49 4;773;29045040073;5;0;1;0;1;0;0;0;
2004 49 4;774;29044940325;5;1;0;0;0;1;0;0;
2004 49 4;775;29044940266;5;1;0;0;0;1;0;0;
2004 49 4;776;29044940372;5;1;0;0;0;1;0;0;
2004 49 4;777;29044940549;5;0;1;0;0;0;0;0;
2004 49 4;778;29044940323;5;1;0;0;0;1;0;0;
2004 49 4;779;29044940022;5;1;0;0;0;1;0;0;
2004 49 4;780;29044940525;4;0;1;0;1;0;0;0;
2004 49 5;1;29044960217;5;1;0;0;0;1;0;0;
2004 49 5;2;29045110294;5;0;1;0;0;1;0;0;
2004 49 5;3;29044940111;5;1;0;0;0;1;0;0;
2004 49 5;4;29044950076;5;1;0;0;0;1;1;0;
2004 49 5;5;29044850601;5;0;1;0;0;1;0;0;
2004 49 5;6;29045050333;5;0;1;0;0;1;0;0;
2004 49 5;7;29044950077;5;1;0;0;0;1;1;0;
2004 49 5;8;29045050352;5;0;1;0;0;1;0;0;
2004 49 5;9;29044950008;5;1;0;0;0;1;1;0;
2004 49 5;10;29044950201;5;1;0;0;0;1;0;0;
2004 49 5;11;29044830027;5;1;0;0;0;1;1;0;
2004 49 5;12;29045050347;5;0;1;0;0;1;0;0;
2004 49 5;13;29044950198;5;1;0;0;0;1;0;0;
2004 49 5;14;29044820050;5;1;0;0;0;1;1;0;
2004 49 5;15;29044950259;5;1;0;0;0;1;0;0;
2004 49 5;16;29045050175;12;0;1;0;0;1;0;0;
2004 49 5;17;29045050179;12;0;1;0;0;1;0;0;
2004 49 5;18;29044950180;12;0;1;0;1;0;0;0;
2004 49 5;19;29044950009;12;1;0;0;0;1;1;0;
2004 49 5;20;29044950283;12;1;0;0;0;1;0;0;
2004 49 5;21;29045050136;12;0;1;0;0;1;0;0;
2004 49 5;22;29044950260;12;1;0;0;0;1;0;0;
2004 49 5;23;29044950282;12;1;0;0;0;1;0;0;
2004 49 5;24;29044950248;9;0;1;0;0;1;0;0;
2004 49 5;25;29044950265;9;0;1;1;0;1;0;0;
2004 49 5;26;29044950212;5;1;0;0;0;1;0;0;
2004 49 5;27;29044950228;5;1;0;0;0;1;0;0;
2004 49 5;28;29044950230;5;1;0;0;0;1;0;0;
2004 49 5;29;29045050336;5;0;1;0;0;1;0;0;
2004 49 5;30;29045050331;5;0;1;0;0;1;0;0;
2004 49 5;31;29045050328;5;0;1;0;0;1;0;0;
2004 49 5;32;29044950233;5;1;0;0;0;1;0;0;
2004 49 5;33;29044910450;5;1;0;0;0;1;1;0;
2004 49 5;34;29044950210;5;1;0;0;0;1;0;0;
2004 49 5;35;29045050326;5;0;1;0;0;1;0;0;
2004 49 5;36;29044950211;5;1;0;0;0;1;0;0;
2004 49 5;37;29044950216;5;1;0;0;0;1;0;0;
2004 49 5;38;29044950284;3;0;1;0;0;0;0;0;
2004 49 5;39;29045010031;3;0;1;0;1;0;0;0;
2004 49 5;40;29044950002;1;1;0;0;0;1;1;0;
2004 49 5;41;29044950132;13;0;1;1;0;0;0;0;
2004 49 5;42;29045050185;13;0;1;0;0;1;0;0;
2004 49 5;43;29044910358;13;1;0;0;0;1;1;0;
2004 49 5;44;29045050145;13;0;1;0;0;1;0;0;
2004 49 5;45;29045050146;13;0;1;0;0;1;0;0;
2004 49 5;46;29044950006;2;1;0;0;0;1;1;0;
2004 49 5;47;29044960022;2;1;0;0;0;1;0;0;
2004 49 5;48;29044920221;2;1;0;0;0;1;1;0;
2004 49 5;49;29045010378;4;0;1;0;1;1;0;0;
2004 49 5;50;29044950296;4;0;1;0;0;1;0;1;
2004 49 5;51;29044960235;2;1;0;0;0;1;1;0;
2004 49 5;52;29044960082;2;1;0;0;0;1;0;0;
2004 49 5;53;29044960150;2;1;0;0;0;1;1;0;
2004 49 5;54;29044950137;13;0;1;1;0;1;0;0;
2004 49 5;55;29044960142;2;1;0;0;0;1;1;0;
2004 49 5;56;29044950182;2;1;0;0;0;1;0;0;
2004 49 5;57;29044960135;2;1;0;0;0;1;1;0;
2004 49 5;58;29044950303;4;0;1;0;0;0;0;0;
2004 49 5;59;29044950287;4;0;1;0;0;0;0;0;
2004 49 5;60;29045120020;8;0;1;0;0;1;0;0;
2004 49 5;61;29045020226;8;1;0;0;0;1;0;0;
2004 49 5;62;29045020225;8;1;0;0;0;1;0;0;
2004 49 5;63;29045010368;8;0;1;0;1;1;0;0;
2004 49 5;64;29044901928;8;0;1;0;0;1;0;0;
2004 49 5;65;29044950262;8;1;0;0;0;1;0;0;
2004 49 5;66;29044950281;8;1;0;0;0;1;0;0;
2004 49 5;67;29045050034;8;0;1;0;0;1;0;0;
2004 49 5;68;29044950304;8;0;1;0;0;1;0;1;
2004 49 5;69;29044950078;8;1;0;0;0;1;1;0;
2004 49 5;70;29045050042;8;0;1;0;0;1;0;0;
2004 49 5;71;29044950292;8;0;1;0;0;0;0;0;
2004 49 5;72;29045050020;8;0;1;0;0;1;0;0;
2004 49 5;73;29044960136;2;1;0;0;0;1;1;0;
2004 49 5;74;29044950189;2;1;0;0;0;1;0;0;
2004 49 5;75;29044960179;2;1;0;0;0;1;1;0;
2004 49 5;76;29045120022;11;0;1;0;0;1;0;0;
2004 49 5;77;29044960153;2;1;0;0;0;1;1;0;
2004 49 5;78;29045010127;2;1;0;0;0;0;0;0;
2004 49 5;79;29044960183;2;1;0;0;0;1;1;0;
2004 49 5;80;29044950308;11;0;1;0;0;1;0;0;
2004 49 5;81;29044950307;11;0;1;0;0;1;0;0;
2004 49 5;82;29044950267;11;0;1;0;0;1;0;0;
2004 49 5;83;29044920227;7;1;0;0;0;1;1;0;
2004 49 5;84;29045120060;7;1;0;0;0;1;0;0;
2004 49 5;85;29044910380;7;1;0;0;0;1;1;0;
2004 49 5;86;29045050033;8;0;1;0;0;1;0;0;
2004 49 5;87;29045050370;8;0;1;0;0;1;0;0;
2004 49 5;88;29044950181;8;1;0;0;0;1;1;0;
2004 49 5;89;29045050038;8;0;1;0;0;1;0;0;
2004 49 5;90;29045050306;8;0;1;0;0;1;0;0;
2004 49 5;91;29044950275;8;1;0;0;0;1;0;0;
