Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;
2004 50 5;247;656044950184;5;0;0;0;0;0;0;0;0;
2004 50 5;248;656045030239;5;0;0;0;0;0;0;0;0;
2004 50 5;249;656045110224;5;0;1;0;0;0;0;0;0;
2004 50 5;250;656044893532;5;1;0;0;0;0;0;0;0;
2004 50 5;251;656050250028;5;0;0;0;0;0;0;1;0;
2004 50 5;252;656044950248;5;0;0;0;0;0;0;0;0;
2004 50 5;253;656044950186;5;0;0;0;0;0;0;0;0;
2004 50 5;254;656045110231;5;0;1;0;0;0;0;0;0;
2004 50 5;255;656044893141;5;1;0;0;0;0;0;0;0;
2004 50 5;256;656045110232;5;0;1;0;0;0;0;0;0;
2004 50 5;257;656050230011;5;0;0;0;0;0;0;1;0;
2004 50 5;258;656045030320;5;0;0;0;0;0;0;0;0;
2004 50 5;259;656044892932;5;1;0;0;1;0;0;0;0;
2004 50 5;260;656045110075;5;0;0;0;0;0;0;1;0;
2004 50 5;261;656045110236;5;0;1;0;0;0;0;0;0;
2004 50 5;262;656044930340;5;0;0;0;0;0;0;0;0;
2004 50 5;263;656045110166;5;0;0;0;0;0;0;1;0;
2004 50 5;264;656044893583;5;1;0;0;0;0;0;0;0;
2004 50 5;265;656045110238;5;0;1;0;0;0;0;0;0;
2004 50 5;266;656045110079;5;0;0;0;0;0;0;1;0;
2004 50 5;267;656044930371;5;0;0;0;0;0;0;0;1;
2004 50 5;268;656045110239;5;0;1;0;0;0;0;0;0;
2004 50 5;269;656044920019;5;1;0;0;0;0;0;0;0;
2004 50 5;270;656045030300;5;0;0;0;0;0;0;0;0;
2004 50 5;271;656050310115;5;0;0;0;0;0;0;1;0;
2004 50 5;272;656045030102;5;0;1;0;0;0;0;0;0;
2004 50 5;273;656050310085;5;0;0;0;0;0;0;1;0;
2004 50 5;274;656044892478;5;1;0;0;1;0;0;0;0;
2004 50 5;275;656045050138;5;0;1;0;0;0;0;0;0;
2004 50 5;276;656045030299;5;0;0;0;0;0;0;0;0;
2004 50 5;277;656045040182;5;0;0;0;0;0;0;0;0;
2004 50 5;278;656050310154;5;0;0;0;0;0;0;1;0;
2004 50 5;279;656044920018;5;1;0;0;0;0;0;0;0;
2004 50 5;280;656045050142;5;0;1;0;0;0;0;0;0;
2004 50 5;281;656045030198;5;0;0;0;0;0;0;0;0;
2004 50 5;282;656045110087;5;0;0;0;0;0;0;1;0;
2004 50 5;283;656045050145;5;0;1;0;0;0;0;0;0;
2004 50 5;284;656045020014;5;1;0;0;0;0;0;0;0;
2004 50 5;285;656045110099;5;0;0;0;0;0;0;1;0;
2004 50 5;286;656044950180;5;0;0;0;0;0;0;0;0;
2004 50 5;287;656045040189;5;0;1;0;0;0;0;0;0;
2004 50 5;288;656045110090;5;0;0;0;0;0;0;1;0;
2004 50 5;289;656044892644;5;1;0;0;1;0;0;0;0;
2004 50 5;290;656045040194;5;0;1;0;0;0;0;0;0;
2004 50 5;291;656045040153;5;0;0;0;0;0;0;0;0;
2004 50 5;292;656045030302;5;0;0;0;0;0;0;0;0;
2004 50 5;293;656045050048;5;0;0;0;0;0;0;1;0;
2004 50 5;294;656044892776;5;1;0;0;0;0;0;0;0;
2004 50 5;295;656045110078;5;0;1;0;0;0;0;0;0;
2004 50 5;296;656045050038;5;0;0;0;0;0;0;1;0;
2004 50 5;297;656045030301;5;0;0;0;0;0;0;0;0;
2004 50 5;298;656045040040;5;0;1;0;0;0;0;0;0;
2004 50 5;299;656044920017;5;1;0;0;0;0;0;0;0;
2004 50 5;300;656045110245;5;0;0;0;0;0;0;1;0;
2004 50 5;301;656045110229;5;0;1;0;0;0;0;0;0;
2004 50 5;302;656045040146;5;0;0;0;0;0;0;0;0;
2004 50 5;303;656050260041;5;0;0;0;0;0;0;1;0;
2004 50 5;304;656044893536;5;1;0;0;1;1;0;0;0;
2004 50 5;305;656045040151;5;0;0;0;0;0;0;0;0;
2004 50 5;306;656045030037;5;0;1;0;0;0;0;0;1;
2004 50 5;307;656050260038;5;0;0;0;0;0;0;1;0;
2004 50 5;308;656045110094;5;0;1;0;0;0;0;0;0;
2004 50 5;309;656044940193;5;1;0;0;0;0;0;0;0;
