Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;LPRC1;LPRC2;
2004 50 5;58;34044897279;2;1;0;1;0;0;0;0;0;
2004 50 5;59;34045050039;2;0;0;0;0;0;0;1;0;
2004 50 5;60;34045050061;2;1;0;0;0;0;0;0;0;
2004 50 5;61;34044850040;2;0;0;0;1;0;0;0;0;
2004 50 5;62;34045130037;2;1;0;1;0;0;0;0;0;
2004 50 5;63;34045040038;2;1;0;0;0;0;0;0;0;
2004 50 5;64;34045050040;2;0;0;0;0;0;0;1;0;
2004 50 5;65;34045030042;2;1;0;0;0;0;0;0;0;
2004 50 5;66;34045040044;2;1;0;0;0;0;0;0;0;
2004 50 5;67;34045130032;2;1;0;1;0;0;0;0;0;
2004 50 5;68;34045040026;2;0;0;0;0;0;0;1;0;
2004 50 5;69;34045040041;2;1;0;0;0;0;0;0;0;
2004 50 5;70;34045130040;2;1;0;1;0;0;0;0;0;
2004 50 5;71;34045030044;2;1;0;0;0;0;0;0;0;
2004 50 5;72;34045110011;2;0;0;0;0;0;0;1;0;
2004 50 5;73;34045130026;2;1;0;1;0;0;0;0;0;
2004 50 5;74;34045030067;2;1;0;0;0;0;0;0;0;
2004 50 5;75;34045040037;2;0;0;0;0;0;0;1;0;
2004 50 5;76;34045130012;2;1;0;1;0;0;0;0;0;
2004 50 5;77;34045040019;2;0;0;0;0;0;0;1;0;
2004 50 5;78;34045050026;1;0;0;0;0;0;0;1;0;
2004 51 1;1;34045130014;4;1;0;1;0;0;0;0;0;
2004 51 1;2;34045050009;4;0;0;0;1;1;1;0;0;
2004 51 1;3;34045040016;3;1;0;0;0;0;0;0;0;
2004 51 1;4;34045110046;3;0;0;0;0;0;0;1;0;
2004 51 1;5;34045030064;3;1;0;0;0;0;0;0;0;
2004 51 1;6;34045120004;3;1;0;1;0;0;0;0;0;
2004 51 1;7;34045030055;3;0;0;0;0;0;0;1;0;
2004 51 1;8;34045130016;4;0;0;0;1;0;0;0;0;
2004 51 1;9;34045030032;1;1;0;0;0;0;0;0;0;
2004 51 1;10;34045130049;1;1;1;1;0;0;0;0;0;
2004 51 1;11;34045040015;1;1;0;0;0;0;0;0;0;
2004 51 1;12;34045040049;1;0;0;0;1;0;0;0;1;
2004 51 1;13;34045040022;1;0;0;0;0;0;0;1;0;
2004 51 1;14;34045040070;1;1;0;0;0;0;0;0;0;
2004 51 1;15;34045120010;1;1;0;1;0;0;0;0;0;
2004 51 1;16;34045130053;4;0;0;0;1;0;0;0;0;
2004 51 1;17;34045040005;3;1;0;0;0;0;0;0;0;
2004 51 1;18;34045030060;3;0;0;0;0;0;0;1;0;
2004 51 1;19;34045130004;3;1;0;1;0;0;0;0;0;
2004 51 1;20;34045110064;3;0;0;0;0;0;0;1;0;
2004 51 1;21;34045040033;3;1;0;0;0;0;0;0;0;
2004 51 1;22;34045030066;4;0;0;0;1;0;0;0;0;
2004 51 1;23;34045130009;4;1;0;1;0;0;0;0;0;
2004 51 1;24;34045050076;1;1;0;0;0;0;0;0;0;
2004 51 1;25;34045040021;1;0;0;0;0;0;0;1;0;
2004 51 1;26;34045030049;1;0;0;0;1;0;0;0;1;
2004 51 1;27;34045040004;1;1;0;0;0;0;0;0;0;
2004 51 1;28;34045050066;1;1;0;0;0;0;0;0;0;
2004 51 1;29;34045120057;1;1;0;1;0;0;0;0;0;
2004 51 1;30;34045040046;4;0;0;0;1;1;1;0;0;
2004 51 1;31;34045040024;2;0;0;0;0;0;0;1;0;
2004 51 1;32;34045050022;2;1;0;0;0;0;0;0;0;
2004 51 1;33;34050270007;4;1;1;1;0;0;0;0;0;
2004 51 1;34;34045110057;4;0;0;0;1;0;0;0;0;
2004 51 1;35;34045030078;2;0;0;0;0;0;0;1;0;
2004 51 1;36;34045040013;2;1;0;0;0;0;0;0;0;
2004 51 1;37;34045130024;2;1;0;1;0;0;0;0;0;
2004 51 1;38;34045110031;2;0;0;0;0;0;0;1;0;
2004 51 1;39;34045030008;4;0;0;0;1;0;0;0;1;
2004 51 1;40;34045030018;3;1;0;0;0;0;0;0;0;
2004 51 1;41;34045130059;4;1;0;1;0;0;0;0;0;
2004 51 1;42;34045030072;4;1;0;0;0;0;0;0;0;
2004 51 1;43;34045130019;4;0;0;0;1;0;0;0;0;
2004 51 1;44;34045120016;3;0;0;0;0;0;0;1;0;
2004 51 1;45;34045130055;3;1;0;1;0;0;0;0;0;
2004 51 1;46;34045110017;3;0;0;0;0;0;0;1;0;
2004 51 1;47;34045120065;4;0;0;0;1;1;1;0;0;
2004 51 1;48;34045050056;1;1;0;0;0;0;0;0;0;
