Date;SeqRank;Ident;Paint Color;HPRC1;
2004 50 3;90;35045030408;6;1;
2004 50 4;1;35045020434;1;1;
2004 50 4;2;35045040442;1;0;
2004 50 4;3;35045020411;1;1;
2004 50 4;4;35045040441;1;0;
2004 50 4;5;35045030406;1;1;
2004 50 4;6;35045040440;1;0;
2004 50 4;7;35045020431;1;1;
2004 50 4;8;35045040439;1;0;
2004 50 4;9;35045030403;1;1;
2004 50 4;10;35045040435;1;0;
2004 50 4;11;35045020433;1;1;
2004 50 4;12;35045030393;1;0;
2004 50 4;13;35045030402;1;1;
2004 50 4;14;35045040434;1;0;
2004 50 4;15;35045030417;1;1;
2004 50 4;16;35045030429;1;0;
2004 50 4;17;35045030415;1;1;
2004 50 4;18;35045040299;1;0;
2004 50 4;19;35045030404;1;1;
2004 50 4;20;35045040419;1;0;
2004 50 4;21;35045030405;1;1;
2004 50 4;22;35045030425;1;1;
2004 50 4;23;35050430221;1;0;
2004 50 4;24;35045020413;1;1;
2004 50 4;25;35050430222;1;0;
2004 50 4;26;35045030382;1;1;
2004 50 4;27;35045040324;1;0;
2004 50 4;28;35045030376;1;1;
2004 50 4;29;35045040305;1;0;
2004 50 4;30;35045030380;1;1;
2004 50 4;31;35045040298;1;0;
2004 50 4;32;35045030374;1;1;
2004 50 4;33;35045040296;1;0;
2004 50 4;34;35045030375;1;1;
2004 50 4;35;35045050131;1;0;
2004 50 4;36;35045030379;1;1;
2004 50 4;37;35045050159;1;0;
2004 50 4;38;35045030398;1;1;
2004 50 4;39;35045110409;1;0;
2004 50 4;40;35044920427;1;1;
2004 50 4;41;35045110408;1;0;
2004 50 4;42;35045030378;1;1;
2004 50 4;43;35045050397;1;1;
2004 50 4;44;35045310198;1;0;
2004 50 4;45;35045110428;1;1;
2004 50 4;46;35045310231;1;0;
2004 50 4;47;35045110430;1;1;
2004 50 4;48;35050120340;1;0;
2004 50 4;49;35045110427;1;1;
2004 50 4;50;35050430317;1;0;
2004 50 4;51;35045320153;1;1;
2004 50 4;52;35050440043;1;0;
2004 50 4;53;35045020464;2;1;
2004 50 4;54;35045040443;2;0;
2004 50 4;55;35045020432;2;1;
2004 50 4;56;35045040337;2;0;
2004 50 4;57;35045030414;2;1;
2004 50 4;58;35045040326;2;0;
2004 50 4;59;35045030388;2;1;
2004 50 4;60;35045040319;2;0;
2004 50 4;61;35045030397;2;1;
2004 50 4;62;35045040302;2;0;
2004 50 4;63;35045030400;2;1;
2004 50 4;64;35045110398;2;1;
2004 50 4;65;35045050156;2;0;
2004 50 4;66;35045110435;2;1;
2004 50 4;67;35045050132;2;0;
2004 50 4;68;35050120315;2;1;
2004 50 4;69;35050120345;2;0;
2004 50 4;70;35045030358;3;1;
2004 50 4;71;35045010410;3;0;
2004 50 4;72;35045010360;3;1;
2004 50 4;73;35045030410;3;0;
2004 50 4;74;35045210368;3;1;
2004 50 4;75;35044810355;3;1;
2004 50 4;76;35045040303;4;0;
2004 50 4;77;35045030389;4;1;
2004 50 4;78;35045040325;4;0;
2004 50 4;79;35045030430;4;1;
2004 50 4;80;35045050134;4;0;
2004 50 4;81;35045030399;5;1;
2004 50 4;82;35045040332;5;0;
2004 50 4;83;35045030387;5;1;
2004 50 4;84;35045050133;5;0;
2004 50 4;85;35045030360;6;1;
2004 50 4;86;35044940398;6;1;
2004 50 4;87;35044950369;6;1;
2004 50 4;88;35045030366;6;1;
2004 50 4;89;35044710344;6;1;
2004 50 4;90;35045030361;6;1;
