Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;
2004 50 3;376;35044430157;7;1;1;
2004 50 4;1;35045040238;1;0;0;
2004 50 4;2;35045040268;1;0;1;
2004 50 4;3;35045040237;1;0;0;
2004 50 4;4;35045040371;1;0;0;
2004 50 4;5;35045040356;1;0;0;
2004 50 4;6;35045040006;1;1;1;
2004 50 4;7;35045040355;1;0;0;
2004 50 4;8;35045040418;1;0;0;
2004 50 4;9;35045040372;1;0;0;
2004 50 4;10;35044520254;2;1;1;
2004 50 4;11;35045040428;2;0;0;
2004 50 4;12;35045040270;2;0;1;
2004 50 4;13;35045040347;2;0;0;
2004 50 4;14;35045040374;2;0;0;
2004 50 4;15;35045040272;2;0;1;
2004 50 4;16;35045040242;2;0;0;
2004 50 4;17;35045040028;2;1;1;
2004 50 4;18;35045040259;2;0;0;
2004 50 4;19;35045040346;2;0;0;
2004 50 4;20;35045040269;2;0;1;
2004 50 4;21;35045040261;2;0;0;
2004 50 4;22;35045040183;2;0;1;
2004 50 4;23;35045040195;2;0;0;
2004 50 4;24;35045040218;2;0;0;
2004 50 4;25;35045040194;2;0;1;
2004 50 4;26;35045040169;2;0;0;
2004 50 4;27;35045040396;2;0;1;
2004 50 4;28;35045040240;2;0;0;
2004 50 4;29;35045040181;2;0;1;
2004 50 4;30;35045040360;2;0;0;
2004 50 4;31;35045040273;2;0;1;
2004 50 4;32;35045040170;2;0;0;
2004 50 4;33;35045040184;2;0;1;
2004 50 4;34;35045040376;2;0;0;
2004 50 4;35;35045040182;2;0;1;
2004 50 4;36;35045040260;2;0;0;
2004 50 4;37;35045040163;2;0;0;
2004 50 4;38;35045040271;2;0;1;
2004 50 4;39;35045040388;2;0;0;
2004 50 4;40;35045040265;2;0;0;
2004 50 4;41;35045040171;2;0;0;
2004 50 4;42;35045040219;2;0;1;
2004 50 4;43;35045040373;2;0;0;
2004 50 4;44;35044520177;2;1;1;
2004 50 4;45;35045040359;2;0;0;
2004 50 4;46;35045040411;2;0;1;
2004 50 4;47;35045040239;2;0;0;
2004 50 4;48;35045040358;2;0;0;
2004 50 4;49;35045040158;2;0;0;
2004 50 4;50;35045040241;2;0;0;
2004 50 4;51;35045040410;2;0;1;
2004 50 4;52;35045040263;2;0;0;
2004 50 4;53;35045040264;2;0;0;
2004 50 4;54;35045040165;2;0;0;
2004 50 4;55;35045040397;2;0;1;
2004 50 4;56;35045040357;2;0;0;
2004 50 4;57;35045040243;2;0;0;
2004 50 4;58;35045040029;2;1;1;
2004 50 4;59;35045040350;2;0;0;
2004 50 4;60;35045040375;2;0;0;
2004 50 4;61;35045040262;2;0;0;
2004 50 4;62;35044960096;2;1;1;
2004 50 4;63;35045040342;2;0;0;
2004 50 4;64;35045340040;2;0;0;
2004 50 4;65;35045040258;2;0;0;
2004 50 4;66;35045220025;2;0;0;
2004 50 4;67;35045030276;3;0;0;
2004 50 4;68;35045030300;3;0;0;
2004 50 4;69;35045030298;3;0;0;
2004 50 4;70;35045030284;3;0;1;
2004 50 4;71;35045030304;3;0;0;
2004 50 4;72;35045030289;3;0;0;
2004 50 4;73;35045030283;3;0;0;
2004 50 4;74;35044910282;3;0;0;
2004 50 4;75;35045030292;3;0;0;
2004 50 4;76;35045030301;3;0;0;
2004 50 4;77;35044940348;3;0;0;
2004 50 4;78;35045030290;3;0;0;
2004 50 4;79;35045030349;3;0;1;
2004 50 4;80;35045030274;3;0;0;
2004 50 4;81;35045030273;3;0;0;
2004 50 4;82;35045030303;3;0;0;
2004 50 4;83;35045030264;3;0;0;
2004 50 4;84;35045030269;3;0;0;
2004 50 4;85;35045030302;3;0;0;
2004 50 4;86;35045030280;3;0;0;
2004 50 4;87;35045030266;3;0;0;
2004 50 4;88;35045030297;3;0;0;
2004 50 4;89;35045030296;3;0;0;
2004 50 4;90;35045030286;3;0;0;
2004 50 4;91;35045030268;3;0;0;
2004 50 4;92;35044950317;3;0;0;
2004 50 4;93;35045030275;3;0;0;
2004 50 4;94;35045030285;3;0;0;
2004 50 4;95;35045030299;3;0;0;
2004 50 4;96;35045030306;3;0;0;
2004 50 4;97;35045030281;3;0;0;
2004 50 4;98;35045030351;3;0;1;
2004 50 4;99;35045030348;3;0;0;
2004 50 4;100;35045030320;3;0;0;
2004 50 4;101;35045030346;3;0;0;
2004 50 4;102;35045030352;3;0;0;
2004 50 4;103;35045030347;3;0;0;
2004 50 4;104;35045030317;3;0;0;
2004 50 4;105;35045030319;3;0;0;
2004 50 4;106;35045040147;3;0;0;
2004 50 4;107;35045040292;3;0;0;
2004 50 4;108;35045040084;3;0;0;
2004 50 4;109;35045030329;3;0;1;
2004 50 4;110;35045040144;3;0;0;
2004 50 4;111;35045040071;3;0;0;
2004 50 4;112;35045040083;3;0;0;
2004 50 4;113;35045040064;3;0;1;
2004 50 4;114;35045040057;3;0;0;
2004 50 4;115;35045050054;3;0;0;
2004 50 4;116;35045040067;3;0;0;
2004 50 4;117;35044950318;3;0;0;
2004 50 4;118;35045050041;3;0;1;
2004 50 4;119;35044940349;3;0;0;
2004 50 4;120;35045040082;3;0;0;
2004 50 4;121;35045040068;3;0;0;
2004 50 4;122;35045050078;3;0;1;
2004 50 4;123;35045040110;3;0;0;
2004 50 4;124;35045040293;3;0;0;
2004 50 4;125;35045040132;3;0;0;
2004 50 4;126;35044950320;3;0;0;
2004 50 4;127;35045040058;3;0;0;
2004 50 4;128;35045030328;3;0;1;
2004 50 4;129;35045040133;3;0;0;
2004 50 4;130;35045040077;3;0;0;
2004 50 4;131;35045040085;3;0;0;
2004 50 4;132;35045040063;3;0;1;
2004 50 4;133;35045040070;3;0;0;
2004 50 4;134;35045040060;3;0;0;
2004 50 4;135;35045040069;3;0;0;
2004 50 4;136;35045040115;3;0;1;
2004 50 4;137;35045040059;3;0;0;
