Date;SeqRank;Ident;Paint Color;HPRC1;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;
2004 48 5;955;39044920088;10;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;956;39044911086;10;0;0;0;0;1;0;1;1;0;0;0;1;
2004 48 5;957;39044920651;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;958;39045050126;10;0;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;959;39044910441;10;0;0;1;1;0;0;0;0;0;0;1;1;
2004 48 5;960;39044930714;10;0;0;0;1;1;0;0;0;1;0;0;0;
2004 48 5;961;39044911860;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;962;39044911948;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;963;39044750355;10;0;0;1;0;1;0;0;0;1;0;0;1;
2004 48 5;964;39044911914;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;965;39044930776;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;966;39044910430;10;0;0;1;1;0;0;0;0;0;0;1;0;
2004 48 5;967;39044950038;10;0;1;0;0;0;0;0;0;1;0;0;1;
2004 48 5;968;39044950424;10;0;0;1;0;1;0;0;0;0;1;0;0;
2004 48 5;969;39044940953;10;0;0;0;0;0;0;1;0;0;0;0;1;
2004 48 5;970;39044940770;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;971;39044950471;10;0;0;0;1;0;0;0;0;1;0;0;0;
2004 48 5;972;39044930041;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;973;39044850346;10;0;0;1;0;0;0;0;0;0;0;0;1;
2004 48 5;974;39044920003;10;0;0;0;0;1;0;0;0;0;0;0;1;
2004 48 5;975;39044930699;10;0;0;0;1;1;0;0;1;0;1;0;0;
2004 48 5;976;39044930513;10;0;0;1;0;1;0;0;0;1;0;0;0;
2004 48 5;977;39045210061;10;0;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;978;39044930068;10;0;0;0;0;1;0;0;0;0;0;0;1;
2004 48 5;979;39044911608;10;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;980;39044910429;10;0;0;1;1;0;0;0;0;0;0;1;0;
2004 48 5;981;39044930786;10;0;0;0;1;1;0;0;0;1;1;0;1;
2004 48 5;982;39044910926;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;983;39044911561;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;984;39044940839;10;0;1;0;1;1;0;1;0;0;0;0;0;
2004 48 5;985;39044850365;10;0;0;1;0;0;0;0;0;0;0;0;1;
2004 48 5;986;39044910017;10;0;0;0;0;1;0;0;0;1;0;0;1;
2004 48 5;987;39044930833;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;988;39044911512;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;989;39044920722;10;0;0;0;0;1;0;0;0;1;0;0;1;
2004 48 5;990;39044851665;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;991;39044920081;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;992;39044911511;10;0;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;993;39044930205;10;0;0;0;0;1;0;0;0;1;0;0;1;
2004 48 5;994;39044930840;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;995;39044940803;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;996;39044910715;10;0;0;0;0;1;0;1;1;0;0;0;0;
2004 48 5;997;39044950126;10;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;998;39044920636;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;999;39044910412;10;0;1;1;1;0;0;0;0;0;0;1;1;
2004 48 5;1000;39044930035;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1001;39044912095;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1002;39044610702;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1003;39044910464;10;0;0;0;0;1;0;0;0;0;0;0;1;
2004 48 5;1004;39044920970;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1005;39044920635;10;0;0;0;1;1;0;1;1;0;1;0;0;
2004 48 5;1006;39044840285;10;0;0;1;0;0;0;0;0;1;0;0;1;
2004 48 5;1007;39044940688;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1008;39044920465;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1009;39044920644;10;0;0;0;0;1;0;0;0;0;1;0;0;
2004 48 5;1010;39044910443;10;0;0;1;1;0;0;0;0;0;0;1;1;
2004 48 5;1011;39044910601;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1012;39044950810;10;0;0;0;0;0;0;0;1;0;0;0;0;
2004 48 5;1013;39044851289;10;0;0;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1014;39044920699;10;0;0;0;1;1;0;0;0;1;1;0;1;
2004 48 5;1015;39044910427;10;0;0;1;1;0;0;0;0;0;0;1;0;
2004 48 5;1016;39044930624;10;0;1;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1017;39044911887;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1018;39044910900;10;0;0;0;0;1;0;0;0;1;0;0;0;
2004 48 5;1019;39044911960;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1020;39044911884;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1021;39044920102;10;0;0;0;1;1;0;1;1;0;1;0;1;
2004 48 5;1022;39044911965;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1023;39044930664;10;0;0;0;0;1;0;0;0;0;0;0;0;
2004 48 5;1024;39044920946;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1025;39044930787;10;0;0;0;1;1;0;0;0;1;0;0;0;
2004 48 5;1026;39044950029;10;0;1;0;0;0;0;0;0;0;0;0;1;
2004 48 5;1027;39044950432;10;0;0;1;0;1;0;0;0;0;1;0;0;
2004 48 5;1028;39044920981;10;0;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;1029;39044920515;10;0;0;0;0;0;0;0;0;0;0;0;0;
