Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;
2004 48 5;805;39044851125;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;806;39044850901;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;807;39044850745;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;808;39044851599;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;809;39044850165;3;0;0;1;1;0;1;0;0;0;0;0;0;
2004 48 5;810;39044911665;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;811;39044850864;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;812;39044850746;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;813;39044850061;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;814;39044851156;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;815;39044850050;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;816;39044911154;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;817;39044840793;3;1;0;0;1;0;0;0;1;0;0;0;0;
2004 48 5;818;39044921167;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;819;39044921183;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;820;39044912027;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;821;39044921164;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;822;39044840861;3;1;0;0;0;0;0;0;0;0;0;0;0;
2004 48 5;823;39044921184;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;824;39044912034;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;825;39044921159;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;826;39044921154;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;827;39044850150;3;1;0;0;0;0;0;1;0;0;1;1;1;
2004 48 5;828;39044910218;3;0;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;829;39044921176;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;830;39044921155;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;831;39044851717;3;0;0;0;0;0;0;0;0;1;0;0;0;
2004 48 5;832;39044850936;3;1;0;0;1;0;0;0;0;0;0;0;0;
2004 48 5;833;39044912096;3;0;0;1;0;0;0;0;0;0;0;0;0;
