Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;LPRC1;LPRC2;LPRC3;LPRC4;LPRC5;LPRC6;LPRC7;LPRC8;LPRC9;LPRC10;LPRC11;LPRC12;
2004 49 4;379;48044940619;12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;380;48044940061;12;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;381;48044950140;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;382;48045040412;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;383;48044910734;12;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;384;48044940346;12;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;
2004 49 4;385;48044940767;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;386;48044940806;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;387;48044950157;12;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;
2004 49 4;388;48044950070;12;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;
2004 49 4;389;48044940673;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;390;48044940781;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;391;48044940368;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;392;48044940706;12;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;393;48044940560;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;394;48044950095;12;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 4;395;48044940761;12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;
2004 49 4;396;48045020136;12;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;
2004 49 4;397;48044930824;12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2004 49 4;398;48044940550;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;399;48044950079;12;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
2004 49 4;400;48044950129;12;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
