Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;HPRC7;HPRC8;HPRC9;LPRC1;LPRC2;
2004 48 5;777;64044850094;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;778;64044850169;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;779;64044850807;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;780;64044850837;5;1;0;0;0;0;0;0;1;0;1;1;
2004 48 5;781;64044850172;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;782;64044850768;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;783;64044850124;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;784;64044850146;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;785;64044850107;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;786;64044850029;5;0;1;1;0;0;0;1;0;1;0;0;
2004 48 5;787;64044851018;5;0;1;0;0;0;0;0;0;0;1;1;
2004 48 5;788;64044910701;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;789;64044850116;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;790;64044850862;5;0;1;0;0;1;0;1;1;0;0;0;
2004 48 5;791;64044851083;5;1;0;0;0;0;0;0;0;0;1;1;
2004 48 5;792;64044910098;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;793;64044851019;5;0;1;0;0;0;0;0;0;0;1;1;
2004 48 5;794;64044850141;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;795;64044850066;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;796;64044850012;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;797;64044850053;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;798;64044850011;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;799;64044850083;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;800;64044910490;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;801;64044850844;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;802;64044850178;5;0;1;0;0;0;0;1;0;1;0;0;
2004 48 5;803;64044850845;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;804;64044910272;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;805;64045011037;5;0;1;0;0;0;0;0;0;0;0;1;
2004 48 5;806;64044910629;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;807;64044850806;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;808;64044910458;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;809;64044941061;5;0;1;0;0;0;0;0;0;0;0;0;
2004 48 5;810;64044910720;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;811;64044850848;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;812;64044850021;5;0;1;1;0;0;0;1;0;1;0;0;
2004 48 5;813;64044850849;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;814;64044850634;5;0;1;0;0;0;0;1;0;0;0;0;
2004 48 5;815;64044850133;5;1;0;0;0;0;0;0;0;0;0;0;
2004 48 5;816;64044850872;5;1;0;0;0;0;0;0;0;0;1;0;
2004 48 5;817;64044850228;5;0;1;0;0;1;0;1;1;0;0;0;
2004 48 5;818;64044850656;5;0;1;0;0;0;0;0;0;0;0;1;
2004 48 5;819;64045120032;5;1;0;0;0;0;0;1;0;0;0;0;
2004 48 5;820;64044850163;5;1;0;0;0;0;0;0;0;0;0;0;
