Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;HPRC5;HPRC6;
2004 48 3;178;64044840216;7;0;0;1;0;0;0;
2004 48 3;179;64044840960;7;0;1;0;0;0;0;
2004 48 3;180;64044840444;7;0;0;0;0;0;0;
2004 48 3;181;64044551057;7;1;0;0;0;0;0;
2004 48 3;182;64044840970;7;0;1;0;0;0;0;
2004 48 3;183;64044840199;7;0;0;1;0;0;0;
2004 48 3;184;64044840180;7;0;0;1;0;0;0;
2004 48 3;185;64044840280;7;0;0;1;0;0;0;
2004 48 3;186;64044840996;7;0;1;0;0;0;0;
2004 48 3;187;64044830103;7;0;0;1;0;0;0;
2004 48 3;188;64044840974;7;0;1;0;0;0;0;
2004 48 3;189;64044840264;7;0;0;1;0;0;0;
2004 48 3;190;64044840993;7;0;1;0;0;0;0;
2004 48 3;191;64044840142;7;0;0;1;0;0;0;
2004 48 3;192;64044840972;7;0;1;0;0;0;0;
2004 48 3;193;64044840254;7;0;0;1;0;0;0;
2004 48 3;194;64044840477;7;0;1;0;0;0;0;
2004 48 3;195;64044840298;7;0;0;1;0;0;0;
2004 48 3;196;64044840235;7;0;0;1;0;0;0;
2004 48 3;197;64044840217;7;0;0;1;0;0;0;
2004 48 3;198;64044840259;7;0;0;1;0;0;0;
2004 48 3;199;64044840182;7;0;0;1;0;0;0;
2004 48 3;200;64044840178;7;0;0;1;0;0;0;
2004 48 3;201;64044841009;7;0;1;0;0;0;0;
2004 48 3;202;64044850978;7;0;1;0;0;0;0;
2004 48 3;203;64044840877;7;0;0;0;0;0;0;
2004 48 3;204;64044850521;7;0;1;0;0;0;0;
2004 48 3;205;64044840438;7;0;0;0;0;0;0;
2004 48 3;206;64044840332;7;0;0;0;0;0;0;
2004 48 3;207;64044850966;7;0;1;0;0;0;0;
2004 48 3;208;64044840480;7;0;0;0;0;0;0;
2004 48 3;209;64044850955;7;0;1;0;0;0;0;
2004 48 3;210;64044840308;7;0;0;0;0;0;0;
2004 48 3;211;64044850965;7;0;1;0;0;0;0;
2004 48 3;212;64044850903;7;1;0;1;0;0;0;
2004 48 3;213;64044850499;7;0;1;1;0;0;0;
2004 48 3;214;64044840478;7;0;0;0;0;0;0;
2004 48 3;215;64044840314;7;0;0;0;0;0;0;
2004 48 3;216;64044850961;7;0;1;0;0;0;0;
2004 48 3;217;64044840453;7;0;0;0;0;0;0;
2004 48 3;218;64044850973;7;0;1;0;0;0;0;
2004 48 3;219;64044840328;7;0;0;0;0;0;0;
2004 48 3;220;64044850979;7;0;1;0;0;0;0;
2004 48 3;221;64044840003;7;0;0;1;0;0;0;
2004 48 3;222;64044850957;7;0;1;0;0;0;0;
2004 48 3;223;64044840149;7;0;0;1;0;0;0;
2004 48 3;224;64044850975;7;0;1;0;0;0;0;
2004 48 3;225;64044950122;7;0;0;0;0;0;0;
2004 48 3;226;64044850956;7;0;1;0;0;0;0;
2004 48 3;227;64044840167;7;0;0;1;0;0;0;
2004 48 3;228;64044851001;7;0;1;0;0;0;0;
2004 48 3;229;64044840878;7;0;0;0;0;0;0;
2004 48 3;230;64044851000;7;0;1;0;0;0;0;
2004 48 3;231;64045210071;7;0;0;0;1;1;0;
2004 48 3;232;64044840879;7;0;0;0;0;0;0;
2004 48 3;233;64044850999;7;0;1;0;0;0;0;
2004 48 3;234;64044850414;7;0;0;1;0;0;0;
2004 48 3;235;64044850517;7;0;1;0;0;0;0;
2004 48 3;236;64044840492;7;0;0;0;0;0;0;
2004 48 3;237;64044830094;7;1;0;1;0;0;0;
2004 48 3;238;64044850509;7;0;1;0;0;0;0;
2004 48 3;239;64044840472;7;0;0;0;0;0;0;
2004 48 3;240;64044850954;7;0;1;0;0;0;0;
2004 48 3;241;64044840494;7;0;0;0;0;0;0;
2004 48 3;242;64044840486;7;0;0;0;0;0;0;
2004 48 3;243;64044840321;7;0;0;0;0;0;0;
2004 48 3;244;64044850953;7;0;1;0;0;0;0;
2004 48 3;245;64044840331;7;0;0;0;0;0;0;
2004 48 3;246;64044850406;7;0;1;1;0;0;0;
2004 48 3;247;64044840470;7;0;0;0;0;0;0;
2004 48 3;248;64044850359;7;0;0;0;0;0;1;
2004 48 3;249;64044840307;7;0;0;0;0;0;0;
2004 48 3;250;64044850577;7;0;0;0;0;0;1;
2004 48 3;251;64044840484;7;0;0;0;0;0;0;
2004 48 3;252;64044850362;7;0;0;0;0;0;1;
2004 48 3;253;64044840473;7;0;0;0;0;0;0;
2004 48 3;254;64044850989;7;0;1;0;0;0;0;
2004 48 3;255;64044840317;7;0;0;0;0;0;0;
2004 48 3;256;64044850996;7;0;1;0;0;0;0;
2004 48 3;257;64044840274;7;0;0;1;0;0;0;
2004 48 3;258;64044850518;7;0;1;0;0;0;0;
2004 48 3;259;64044850262;7;0;0;1;0;0;0;
2004 48 3;260;64044850548;7;0;1;0;0;0;0;
2004 48 3;261;64044840320;7;0;0;0;0;0;0;
2004 48 3;262;64044850515;7;0;1;0;0;0;0;
2004 48 3;263;64044840442;7;0;0;0;0;0;0;
2004 48 3;264;64044850395;7;0;1;1;0;0;0;
2004 48 3;265;64044840315;7;0;0;0;0;0;0;
2004 48 3;266;64044850952;7;0;1;0;0;0;0;
2004 48 3;267;64044850424;7;0;0;0;0;0;0;
2004 48 3;268;64044840094;7;0;1;1;0;0;0;
2004 48 3;269;64044850351;7;0;0;0;0;0;0;
2004 48 3;270;64044850974;7;0;1;0;0;0;0;
2004 48 3;271;64044850567;7;0;0;0;0;0;0;
