Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;LPRC1;
2004 50 5;75;655045020119;3;0;0;0;0;0;
2004 50 5;76;655044950102;3;0;0;0;0;0;
2004 50 5;77;655045020124;3;0;0;0;0;0;
2004 50 5;78;655045020113;3;0;0;0;0;0;
2004 50 5;79;655045050059;3;0;0;0;0;1;
2004 50 5;80;655045020134;3;0;0;0;0;0;
2004 50 5;81;655045020135;3;0;0;0;0;0;
2004 50 5;82;655045270005;3;0;0;0;0;1;
2004 50 5;83;655045040110;3;0;0;0;0;1;
2004 50 5;84;655045010077;3;0;0;0;0;0;
2004 50 5;85;655045040120;3;0;0;0;0;0;
2004 50 5;86;655045040109;3;1;0;0;1;0;
2004 50 5;87;655045140020;3;0;0;0;0;0;
2004 50 5;88;655045040064;2;0;0;0;0;0;
2004 51 2;1;655045040130;1;0;0;0;0;0;
2004 51 2;2;655044950100;1;0;0;0;0;0;
2004 51 2;3;655045040072;9;0;0;0;0;0;
2004 51 2;4;655045040075;9;0;0;0;0;0;
2004 51 2;5;655045120057;1;0;0;0;0;0;
2004 51 2;6;655045050115;1;0;0;0;0;0;
2004 51 2;7;655044940138;7;0;0;0;0;1;
2004 51 2;8;655045020139;8;0;0;0;0;0;
2004 51 2;9;655045050060;2;0;0;0;0;0;
2004 51 2;10;655045050070;2;0;0;0;0;0;
2004 51 2;11;655045120048;2;1;0;0;1;0;
2004 51 2;12;655045020096;7;0;0;0;0;0;
2004 51 2;13;655045140033;3;0;0;0;0;0;
2004 51 2;14;655045020122;3;0;0;0;0;0;
2004 51 2;15;655044930113;3;0;0;0;0;1;
2004 51 2;16;655045020062;3;0;0;0;0;0;
2004 51 2;17;655045020099;3;0;0;0;0;0;
2004 51 2;18;655045050069;3;0;0;0;0;0;
2004 51 2;19;655045140018;3;0;0;0;0;0;
2004 51 2;20;655045050118;3;0;0;0;0;0;
2004 51 2;21;655045050076;3;0;0;0;0;0;
2004 51 2;22;655045040066;1;0;0;0;0;0;
