Date;SeqRank;Ident;Paint Color;HPRC1;HPRC2;HPRC3;HPRC4;
2004 51 5;59;655045170082;5;1;0;0;1;
2004 51 5;60;655044950080;5;0;0;0;0;
2004 51 5;61;655045120035;5;0;0;1;1;
2004 51 5;62;655045040013;5;0;0;0;1;
2004 51 5;63;655045170083;5;1;0;0;1;
2004 51 5;64;655045110012;5;0;0;1;1;
2004 51 5;65;655045130041;5;0;0;0;0;
2004 51 5;66;655045130018;5;0;0;0;1;
2004 51 5;67;655044850090;5;0;0;1;1;
2004 51 5;68;655045170084;5;1;0;0;1;
2004 51 5;69;655045130004;5;0;0;0;1;
2004 51 5;70;655045120011;5;0;0;0;1;
2004 51 5;71;655045110003;5;0;0;1;1;
2004 51 5;72;655045170087;5;1;0;0;1;
2004 51 5;73;655045120026;4;0;0;1;1;
2004 52 1;1;655045120017;5;0;0;0;0;
2004 52 1;2;655045040005;5;0;0;0;1;
2004 52 1;3;655045120032;5;0;0;0;1;
2004 52 1;4;655045130040;5;0;0;0;0;
2004 52 1;5;655045120033;5;0;0;0;1;
2004 52 1;6;655045120029;1;0;0;1;1;
2004 52 1;7;655045140013;1;0;0;0;0;
2004 52 1;8;655045140005;1;0;0;0;1;
2004 52 1;9;655045120037;1;0;0;0;0;
2004 52 1;10;655045010055;1;0;0;0;0;
2004 52 1;11;655045120038;1;0;0;0;1;
2004 52 1;12;655045120001;1;0;0;1;1;
2004 52 1;13;655045120008;5;0;0;0;0;
2004 52 1;14;655045130003;5;0;0;0;1;
2004 52 1;15;655045140007;5;0;0;0;1;
2004 52 1;16;655045120009;5;0;0;0;0;
2004 52 1;17;655045140012;5;0;0;0;1;
2004 52 1;18;655050370023;3;0;1;1;1;
2004 52 1;19;655045120042;6;0;0;0;0;
2004 52 1;20;655045120023;6;0;0;0;1;
2004 52 1;21;655045140011;6;0;0;0;1;
2004 52 1;22;655045120003;6;0;0;0;0;
2004 52 1;23;655045130006;1;0;0;0;1;
2004 52 1;24;655044950086;1;0;0;1;1;
2004 52 1;25;655045120012;5;0;0;0;0;
2004 52 1;26;655045120045;5;0;0;0;1;
2004 52 1;27;655045130047;5;0;0;0;1;
2004 52 1;28;655045140014;5;0;0;0;0;
2004 52 1;29;655045120047;5;0;0;0;1;
2004 52 1;30;655045120027;3;0;0;1;1;
2004 52 1;31;655045120031;5;0;0;0;0;
2004 52 1;32;655045140004;5;0;0;0;1;
2004 52 1;33;655045110011;5;0;0;0;1;
2004 52 1;34;655045120020;5;0;0;0;0;
2004 52 1;35;655045130016;5;0;0;0;1;
2004 52 1;36;655050270042;3;0;1;1;1;
2004 52 1;37;655045120024;5;0;0;0;0;
2004 52 1;38;655045130017;5;0;0;0;1;
2004 52 1;39;655045140015;5;0;0;0;1;
2004 52 1;40;655045140003;5;0;0;0;0;
